avg,prediction,idle,transmit
0,0,0,0
0,1,0,-0.202262
0,2,0,-0.555264
0,3,0,-0.552243
0,4,0,-0.574632
0,5,0,-0.494976
0,6,0,-0.503873
0,7,0,-0.490465
0,8,0,-0.447856
0,9,0,-0.444395
0,10,0,-0.424609
0,11,0,-0.376008
0,12,0,-0.327109
0,13,0,-0.267879
0,14,0,-0.291617
0,15,0,-0.270078
0,16,0,-0.232872
0,17,0,-0.0296163
0,18,0,-0.084693
0,19,0,-0.070957
0,20,0,0
0,21,0,0
0,22,0,-0.00273367
0,23,0,0
0,24,0,-0.00473233
0,25,0,-0.00963417
0,26,0,0
0,27,0,0
0,28,0,0
0,29,0,0
0,30,0,0
0,31,0,0
0,32,0,0
0,33,0,0
0,34,0,0
0,35,0,0
0,36,0,0
0,37,0,0
0,38,0,0
0,39,0,0
0,40,0,0
1,0,0,0
1,1,0,0
1,2,0,-0.0994904
1,3,0,-0.291802
1,4,0,-0.473991
1,5,0,-0.450544
1,6,0,-0.444281
1,7,0,-0.388167
1,8,0,-0.389132
1,9,0,-0.346026
1,10,0,-0.300446
1,11,0,-0.286887
1,12,0,-0.261507
1,13,0,-0.246422
1,14,0,-0.191675
1,15,0,-0.195046
1,16,0,-0.14394
1,17,0,-0.134092
1,18,0,-0.120181
1,19,0,-0.0268173
1,20,0,0
1,21,0,0
1,22,0,0
1,23,0,0
1,24,0,0
1,25,0,0
1,26,0,0
1,27,0,0
1,28,0,0
1,29,0,0
1,30,0,0
1,31,0,0
1,32,0,0
1,33,0,0
1,34,0,0
1,35,0,0
1,36,0,0
1,37,0,0
1,38,0,0
1,39,0,0
1,40,0,0
2,0,0,0
2,1,0,0
2,2,0,0
2,3,0,0
2,4,0,0
2,5,0,-0.118391
2,6,0,-0.339232
2,7,0,-0.290674
2,8,0,-0.280614
2,9,0,-0.266288
2,10,0,-0.272288
2,11,0,-0.227283
2,12,0,-0.233983
2,13,0,-0.220487
2,14,0,-0.174792
2,15,0,-0.183003
2,16,0,-0.0851178
2,17,0,-0.0632368
2,18,0,-0.0301661
2,19,0,-0.0563352
2,20,0,0.0371858
2,21,0,0.0221174
2,22,0,0.0179837
2,23,0,0.0737182
2,24,0,0.0636211
2,25,0,0.025599
2,26,0,0
2,27,0,0.0163479
2,28,0,0
2,29,0,0
2,30,0,0
2,31,0,0
2,32,0,0
2,33,0,0
2,34,0,0
2,35,0,0
2,36,0,0
2,37,0,0
2,38,0,0
2,39,0,0
2,40,0,0
3,0,0,0
3,1,0,0
3,2,0,0
3,3,0,0
3,4,0,0
3,5,0,0
3,6,0,0
3,7,0,0.027381
3,8,0,0.01
3,9,0,0.0349167
3,10,0,0.027381
3,11,0,0.0480145
3,12,0,0.0785053
3,13,0,0.0349167
3,14,0,0.0814398
3,15,0,0.0678427
3,16,0,0.0865403
3,17,0,0.0814398
3,18,0,0.0865403
3,19,0,0.0865403
3,20,0,0.0814398
3,21,0,0.0785053
3,22,0,0.0417742
3,23,0,0.01
3,24,0,0
3,25,0,0.01
3,26,0,0
3,27,0,0
3,28,0,0
3,29,0,0
3,30,0,0
3,31,0,0
3,32,0,0
3,33,0,0
3,34,0,0
3,35,0,0
3,36,0,0
3,37,0,0
3,38,0,0
3,39,0,0
3,40,0,0
